Entry	Entry name	Glycosylation
Q9LD90	CBF5_ARATH	
Q8GWR1	AAAS_ARATH	
Q9SEV0	BAN_ARATH	
Q9M324	BSK6_ARATH	
O64886	COX10_ARATH	
Q9C5A9	ATPBO_ARATH	
Q96514	C71B7_ARATH	
Q1PFD1	BLH11_ARATH	
Q94KL5	BLH4_ARATH	
Q8GX84	C3H1_ARATH	
O82622	FB227_ARATH	
Q9SN43	CIPKC_ARATH	
P92937	CIPKF_ARATH	
Q9SB50	AP4M_ARATH	
Q9SIH1	CP18B_ARATH	
O04209	CLC2_ARATH	
Q1PEF6	ASK6_ARATH	
Q9LVE4	CSCL4_ARATH	
Q8W4I9	AML1_ARATH	
F4J5M9	CLC3_ARATH	
Q9FIH9	CML37_ARATH	
Q9C9G2	AEE22_ARATH	
Q8GWQ2	AHL20_ARATH	
Q96252	ATP4_ARATH	
Q9LVB0	AHL6_ARATH	
Q9FT51	AB27G_ARATH	
Q9M1D3	CISY5_ARATH	
Q67ZM4	ADF7_ARATH	
O23463	CMTA5_ARATH	
P92941	CLCA_ARATH	
Q8GWW7	AGUA_ARATH	
Q9M7Q5	AI5L4_ARATH	
Q9FGG1	EC15_ARATH	
Q8VYK9	CKL12_ARATH	
Q9SB68	ADPRM_ARATH	
P46310	FAD3C_ARATH	
Q9LUV4	FRL4A_ARATH	
Q9FFF6	DIOX5_ARATH	
Q9FYC4	FAMT_ARATH	
Q56XW8	FBL30_ARATH	
Q8S2T0	GRIP_ARATH	
Q708Y0	EBF2_ARATH	
Q93ZG9	FKB53_ARATH	
O49647	FB246_ARATH	
Q9FLS0	FB253_ARATH	
Q9LTF5	FB292_ARATH	
Q94AR4	CID2_ARATH	
Q9LQW4	CAP15_ARATH	
Q9ZWS6	ARR6_ARATH	
Q9SN74	BH047_ARATH	
O49396	C82C3_ARATH	
Q96299	14339_ARATH	
Q94BT9	ATOX1_ARATH	
Q9FGJ4	ACPM3_ARATH	
P56783	CEMA_ARATH	
Q1PE48	CDS3_ARATH	
Q9ZU35	AB7G_ARATH	
Q9LDK9	APBLA_ARATH	
Q9LJ87	CDC73_ARATH	
F4JPK8	AATPE_ARATH	
Q564K3	CND2_ARATH	
Q9LQL4	FBK19_ARATH	
Q7FB56	AB15C_ARATH	
Q8L7Z0	CNG17_ARATH	
Q9LTA2	AHL17_ARATH	
Q9ZQH1	CML48_ARATH	
A1L4X0	CLT2_ARATH	
Q8GXB3	AHL5_ARATH	
Q8LPL6	AP2A1_ARATH	
Q9SFB3	ATAB2_ARATH	
Q9ZUU9	AB3G_ARATH	
Q8LG64	CKB22_ARATH	
Q9SY88	CSU1_ARATH	
P51566	AFC1_ARATH	
O82659	CML20_ARATH	
Q9FWZ1	FBL13_ARATH	
Q9SDA8	FBL10_ARATH	
Q8S8F2	FBL11_ARATH	
Q3EC97	FBL14_ARATH	
Q1G3N6	FB201_ARATH	
P48622	FAD3D_ARATH	
Q9M2D0	FB214_ARATH	
Q67ZB3	FRL3_ARATH	
Q56Y11	DDPS2_ARATH	
Q84VY5	DPNP4_ARATH	
Q84W80	FBL42_ARATH	
Q3E9Z8	FB236_ARATH	
Q9LJU6	FAX6_ARATH	
Q9LX51	FBL64_ARATH	
Q9T0H8	DIR18_ARATH	
O23138	CYC1_ARATH	
Q9SZ95	FB224_ARATH	
Q8LF89	GRXC8_ARATH	
P35614	ERF1Z_ARATH	
Q9CAE9	FBK53_ARATH	
Q2V433	DEF52_ARATH	
Q8W110	FRO4_ARATH	
Q9LMA7	CXE1_ARATH	
Q8GXC7	FBK50_ARATH	
P0CE10	DEAHB_ARATH	
P0DKJ7	FIS2L_ARATH	
Q93VA3	CYC6_ARATH	
P82759	DEF73_ARATH	
Q9LT76	FBK63_ARATH	
Q9LUN5	FB156_ARATH	
Q9T0E4	FBK81_ARATH	
Q9LJ68	FB162_ARATH	
Q9SYL6	GGH1_ARATH	
Q9M8J3	FRS7_ARATH	
Q3EBQ3	FRS2_ARATH	
Q9LIR1	FB182_ARATH	
P92939	ECA1_ARATH	
F4K4R6	GEX2_ARATH	
Q9FIT8	AGD1_ARATH	
Q9LRJ4	BH117_ARATH	
B9DGD6	ACS_ARATH	
Q9SJJ7	ATL57_ARATH	
O80891	CSLB4_ARATH	
Q9SB75	CSLC5_ARATH	
Q0WT40	CSLB5_ARATH	
Q8GX47	CAP3_ARATH	
Q8LPF4	AVT1E_ARATH	
P29381	AGL1_ARATH	
Q8VZJ2	BGNEM_ARATH	
F4IZC4	BASS4_ARATH	
Q9SZJ6	AGL21_ARATH	
Q9LZ82	BTR1_ARATH	
Q9LVR0	ATB53_ARATH	
Q8RWU4	ATML1_ARATH	
Q9S7I8	CDC22_ARATH	
Q9STL0	C71AN_ARATH	
O64806	ACA7_ARATH	
O04479	AS2_ARATH	
Q9M1D1	BGL27_ARATH	
Q9FGX1	ACLB2_ARATH	
O65378	ACCO3_ARATH	
Q9XIP8	CDI_ARATH	
O82256	COL13_ARATH	
Q9LPW7	AFB3_ARATH	
Q94AN4	AP2L1_ARATH	
Q8L9B5	CSPLP_ARATH	
Q84P26	4CLL8_ARATH	
Q38896	CSP4_ARATH	
Q9C562	CIPKA_ARATH	
Q9FN04	AAP4_ARATH	
P92934	AAP6_ARATH	
Q8GUM3	AAP5_ARATH	
O80592	AAP8_ARATH	
Q9LQQ0	DIR25_ARATH	
Q9SKX0	AB13C_ARATH	
F4KBP5	CHR4_ARATH	
Q9SY14	CSCL2_ARATH	
Q9C6W5	AB14G_ARATH	
Q9ZUL5	CHR19_ARATH	
Q9SL29	CNG15_ARATH	
Q9M297	CLSY1_ARATH	
Q9SSG5	BOR5_ARATH	
Q9LPK6	AEE9_ARATH	
Q9SZ70	AHL26_ARATH	
Q9LY91	AGP6_ARATH	
Q9FXH6	CNGC8_ARATH	
Q8RWL5	CLT3_ARATH	
P0CB22	ATX2_ARATH	
Q9M0A7	GGP1_ARATH	
O64847	FAX7_ARATH	
O80458	DDPS1_ARATH	
Q9LSU8	FB326_ARATH	
Q9FNJ8	AROD5_ARATH	
Q8L9Y3	ARR14_ARATH	
Q9LF09	CSLAB_ARATH	
Q9SVG0	AVT3C_ARATH	
Q9ZUI9	AGL49_ARATH	
Q1PFA4	AGL30_ARATH	
Q9LFP0	APT5_ARATH	
Q8L829	ARI5_ARATH	
C0SUW7	ARID6_ARATH	
P58046	C71AF_ARATH	
Q9LPQ8	ALMT3_ARATH	
Q9LXT9	CALS3_ARATH	
O65785	C71B3_ARATH	
Q9LS22	ALMTE_ARATH	
Q9ZUN4	ACCO1_ARATH	
O65581	ALFC5_ARATH	
P0DH96	CALM4_ARATH	
Q9SZ59	ADM_ARATH	
Q8LGU1	AB8C_ARATH	
Q9LE22	CML27_ARATH	
Q8RWI9	AB15G_ARATH	
Q9LX07	ANXD7_ARATH	
Q9SRP5	CML34_ARATH	
Q9M3D6	AB19G_ARATH	
Q9FW44	ADR1_ARATH	
Q39061	CP33_ARATH	
Q9FPR2	AGP18_ARATH	
Q8LFG1	AMY2_ARATH	
Q9SZJ2	GRDP2_ARATH	
Q9LZY4	FB213_ARATH	
Q9LXR1	FB208_ARATH	
Q9LXQ7	FB209_ARATH	
Q9FKI0	FIMB5_ARATH	
Q9M096	FBL19_ARATH	
P33157	E13A_ARATH	
Q6AWT8	GG3_ARATH	
Q3E6S9	CNIF3_ARATH	
Q8LBS4	GRS12_ARATH	
Q9SSR7	FBL31_ARATH	
Q8GY03	DDPS4_ARATH	
Q9C7X8	FBL33_ARATH	
Q2V414	FBL37_ARATH	
O49624	FB242_ARATH	
O49421	FB238_ARATH	
Q8RWU5	FBL3_ARATH	
Q8S8Q9	FBL40_ARATH	
Q9C947	DEF05_ARATH	
Q94A64	FB251_ARATH	
Q9FJJ4	FB298_ARATH	
Q94JM2	GMK3_ARATH	
P0CAY1	DEF42_ARATH	
O23257	FBL72_ARATH	
Q9ZWB9	FAO1_ARATH	
Q9CA63	FBK29_ARATH	
Q9LM89	FB12_ARATH	
Q9LM50	E2204_ARATH	
Q9SX25	CXE6_ARATH	
Q9FFA1	GOLS5_ARATH	
Q9LQC1	FB65_ARATH	
O24496	GLO2C_ARATH	
O80482	BH149_ARATH	
Q93ZG3	ACSA1_ARATH	
Q7XJU1	BH154_ARATH	
Q6PQQ4	BBM_ARATH	
O64885	BCCIP_ARATH	
O64763	ATL9_ARATH	
Q05753	AKRP_ARATH	
Q9C8N9	ARFU_ARATH	
Q8VZK9	CSLE1_ARATH	
Q9LS26	BSK2_ARATH	
Q8L7U5	BSL1_ARATH	
F4KBF3	AAE17_ARATH	
F4K5R6	CDC26_ARATH	
Q9FWS9	BLH3_ARATH	
Q9SL04	ATG8D_ARATH	
Q9SK74	C3H21_ARATH	
Q9LJK2	ABAH4_ARATH	
F4KFX5	AATPJ_ARATH	
Q941Q3	C3H37_ARATH	
Q66GN9	CLPX3_ARATH	
O22920	CHX13_ARATH	
Q9FGH6	CHX25_ARATH	
P92547	ATP62_ARATH	
Q9LJW2	CRR13_ARATH	
Q94BP7	AUG6_ARATH	
Q9LUZ4	C3H66_ARATH	
Q9ZTA2	AOP2C_ARATH	
Q9LXM4	CAF1H_ARATH	
Q84P23	4CLL9_ARATH	
Q9M0U7	FB221_ARATH	
Q501G6	CSPLY_ARATH	
Q6NNP0	ATG16_ARATH	
Q84R11	CRSH_ARATH	
Q9LIS1	CR26L_ARATH	
Q9SEZ7	CIPKG_ARATH	
O22049	AOX2_ARATH	
Q9SRQ2	CHAT_ARATH	
Q94CG0	CIPKL_ARATH	
Q9LHR4	GGPPC_ARATH	
Q9FZD5	FB307_ARATH	
Q8VYM0	ERF93_ARATH	
Q9LUX9	FQRL3_ARATH	
F4JTE7	GPP1_ARATH	
P0DH90	FRIGI_ARATH	
Q8VZI8	FTSHA_ARATH	
Q58FV0	DOGL3_ARATH	
Q9M1G8	DJ1F_ARATH	
Q9C8P8	BH080_ARATH	
Q8GT73	BH119_ARATH	
Q9ZVF1	CAR10_ARATH	
Q8RX29	ATL70_ARATH	
Q93YR9	ARFP_ARATH	
Q9FL42	ATL69_ARATH	
Q0WVN5	CSLG3_ARATH	
Q9M2K8	AGL18_ARATH	
Q9S7J9	CAR9_ARATH	
O80807	AGL23_ARATH	
Q1PF17	BH018_ARATH	
Q9C6V4	AGL92_ARATH	
Q9LR57	CSPL1_ARATH	
Q9SUN3	ARAE3_ARATH	
Q9LS23	ALMTD_ARATH	
O82772	BGL25_ARATH	
Q9LTM4	C71BJ_ARATH	
Q9FGK4	B561J_ARATH	
Q9M2B4	ALFL3_ARATH	
Q682T9	CALM5_ARATH	
Q84TH5	AB25G_ARATH	
Q9FGS8	C2GR2_ARATH	
Q9LUA9	COL10_ARATH	
P46248	AAT5_ARATH	
F4IZ82	ARL8D_ARATH	
O80902	CIPKM_ARATH	
Q9FLT8	AB12A_ARATH	
Q9SWS1	ACFR2_ARATH	
O82568	AAPT2_ARATH	
Q9LTH7	ACH12_ARATH	
Q681K2	ATS3A_ARATH	
Q8GWD5	CSPLC_ARATH	
Q9LID6	AB1E_ARATH	
Q9FMX6	DJC76_ARATH	
Q8LFQ6	GRXC4_ARATH	
Q3E8L0	GDU7_ARATH	
A0A1P8AS03	ECT4_ARATH	
Q9C691	DEGP6_ARATH	
Q9LM74	FB13_ARATH	
Q9SFC7	FB135_ARATH	
Q9SR08	FBK49_ARATH	
Q9SUC5	FAH2_ARATH	
Q94C27	FB84_ARATH	
Q9FVV8	FB87_ARATH	
Q3ECE2	FB85_ARATH	
Q9SL78	ATL12_ARATH	
Q9FGT7	ARR18_ARATH	
Q9FPR6	ARR17_ARATH	
Q84RQ9	ARI12_ARATH	
Q8W583	ALT3_ARATH	
Q93Y00	BH007_ARATH	
Q9SZX3	ASSY_ARATH	
Q9SZZ8	BCH1_ARATH	
Q9LS08	BH032_ARATH	
Q4PSR7	ATB22_ARATH	
Q9LUC8	C7A13_ARATH	
Q9S9Z8	14311_ARATH	
F4JVH1	CFM3B_ARATH	
Q9SZU1	C81F4_ARATH	
P58047	C71AS_ARATH	
Q9SJ61	CDPKP_ARATH	
P48422	C86A1_ARATH	
Q8LF36	2A5T_ARATH	
P0DH98	CALM3_ARATH	
Q9SRM4	ALFL2_ARATH	
P56760	ATPH_ARATH	
Q8LPK0	AB8A_ARATH	
Q9FLT5	AB9A_ARATH	
O04983	ACCC_ARATH	
Q9SVL6	CRPM2_ARATH	
Q9LSB9	EREX_ARATH	
Q9FWW7	FBK1_ARATH	
Q9LSW6	ACH10_ARATH	
Q9SVT8	AMT14_ARATH	
Q9SZR0	CHMO_ARATH	
Q9M2S3	AHL15_ARATH	
Q0V7W6	ADHL5_ARATH	
Q8GUP1	CTF77_ARATH	
Q2V4D5	DEF36_ARATH	
Q9M1V4	DEF11_ARATH	
O22232	FBL52_ARATH	
Q9M2S0	GMPP2_ARATH	
Q2V4A6	DEF56_ARATH	
Q9LUP9	FB152_ARATH	
Q9SD71	FB194_ARATH	
Q681K7	GEX1_ARATH	
O22693	GOLS4_ARATH	
Q9SID3	GLO2N_ARATH	
Q9FJU3	FBD28_ARATH	
Q945P1	EULS3_ARATH	
Q9C8K0	DRL5_ARATH	
O80762	FBD3_ARATH	
Q8GY79	DRB5_ARATH	
P0DI16	DRL44_ARATH	
Q9LXN3	FACR4_ARATH	
Q9FHJ2	DRL34_ARATH	
O22870	FK163_ARATH	
Q8W3K0	DRL9_ARATH	
O64787	FBD4_ARATH	
Q9LDJ3	EXP12_ARATH	
F4I5Q2	FBT8_ARATH	
A8MQN0	DF108_ARATH	
Q2V390	DF109_ARATH	
Q8S3D1	BH068_ARATH	
Q3EAI1	BH060_ARATH	
Q9SK91	BH094_ARATH	
Q8GZ13	BEE1_ARATH	
Q9FIK8	CAR11_ARATH	
Q9ZU34	AIP11_ARATH	
Q9C968	CCA24_ARATH	
Q9FMH5	CCA31_ARATH	
Q9FKT0	ARP8_ARATH	
Q84RR2	ARI2_ARATH	
Q9SUE3	CRF4_ARATH	
Q9LTG5	CALS4_ARATH	
Q9LTM0	C71BN_ARATH	
Q9FMY1	C86B1_ARATH	
Q8RX72	AMPL3_ARATH	
Q9XIM7	CRPM1_ARATH	
Q9M9B3	COL8_ARATH	
Q0WV12	ANL2_ARATH	
Q9ZWA1	C3H2_ARATH	
Q06AN9	CD27A_ARATH	
Q9FHW4	FB266_ARATH	
Q9FF23	FB268_ARATH	
Q9LSX8	ASK10_ARATH	
O49354	COQ3_ARATH	
Q3E9A0	ANTR6_ARATH	
Q9LHE4	CHR27_ARATH	
Q9C9U8	CML26_ARATH	
O22174	ERF08_ARATH	
A8MQG7	ASK20_ARATH	
Q9C9X3	ANXD5_ARATH	
Q9LF54	CML29_ARATH	
Q9SY17	FB314_ARATH	
A1L4X7	AHL14_ARATH	
Q9SRE6	CML38_ARATH	
Q9LMM6	BPS1_ARATH	
Q9LZX7	AHL18_ARATH	
Q8LFH6	ADF12_ARATH	
Q3E954	BOR6_ARATH	
O49662	AHL24_ARATH	
Q9LK50	AB26G_ARATH	
Q9ZT17	AGP3_ARATH	
Q9SK64	FB114_ARATH	
Q9SIV7	FB108_ARATH	
Q9SI02	FBK33_ARATH	
Q9C591	ERF16_ARATH	
O22259	ERF71_ARATH	
Q7G9E7	FB54_ARATH	
Q9SJM1	ACR10_ARATH	
Q9SMX5	AGD4_ARATH	
Q9S9N9	CCR1_ARATH	
Q9S7F3	BEH1_ARATH	
P0C035	ATL60_ARATH	
F4HX80	ALT4_ARATH	
Q9FMB6	BIM3_ARATH	
Q9C7I9	ARFT_ARATH	
Q8L762	BAM6_ARATH	
Q9S789	CDA9_ARATH	
P29385	AGL5_ARATH	
O23193	CBSX1_ARATH	
P93824	ACCH6_ARATH	
Q9FH66	C71AG_ARATH	
O23086	ALMTA_ARATH	
Q9SCN2	C71BU_ARATH	
Q9XEB5	ATG8B_ARATH	
Q9C7E8	COL15_ARATH	
Q9SSE5	COL9_ARATH	
O22243	C3H31_ARATH	
Q944Z9	AOP2L_ARATH	
Q945B5	AOP2V_ARATH	
Q9FNE8	CSPLV_ARATH	
P35632	AP3_ARATH	
Q9SKN3	CSPL6_ARATH	
P60112	ATP9_ARATH	
P93285	COX2_ARATH	
O22971	CIPKD_ARATH	
Q9T0C6	FB230_ARATH	
Q9FF99	AAP7_ARATH	
Q9FUJ1	CKX7_ARATH	
Q9SRE0	5FCLL_ARATH	
Q93YP7	COQ2_ARATH	
Q9ZPJ8	AMT12_ARATH	
Q9M1X5	ASK13_ARATH	
Q9M2V5	AB18G_ARATH	
Q8L3R2	CML41_ARATH	
Q8LPN5	AHL12_ARATH	
Q9FYE4	CML50_ARATH	
Q9LFG8	AB20G_ARATH	
F4I902	CHS1_ARATH	
Q9ZR02	CML6_ARATH	
Q9LUU3	FBK58_ARATH	
Q9S740	AGP19_ARATH	
Q9MAA2	AT74_ARATH	
Q8RY46	AB26B_ARATH	
Q94CK3	FIS1B_ARATH	
Q9SS35	FB137_ARATH	
Q2V485	DEF62_ARATH	
Q9SVQ0	ERF62_ARATH	
Q9FZE7	FB41_ARATH	
Q9FZ90	ERF87_ARATH	
Q9FVS9	C96AF_ARATH	
P0C034	ATL10_ARATH	
F4JV59	CABIN_ARATH	
Q9SLL2	BIG1B_ARATH	
Q9M0R4	ATL37_ARATH	
Q9FX25	ARFM_ARATH	
O23653	AK2_ARATH	
Q9LUZ9	ATL63_ARATH	
Q147G5	CCA22_ARATH	
Q8W2F1	BH012_ARATH	
Q9ZV71	B3GT3_ARATH	
Q9C5D0	CBSX2_ARATH	
P83484	ATPBN_ARATH	
Q8GWR0	COX11_ARATH	
Q8RYC2	ACT5_ARATH	
Q8W471	AAE15_ARATH	
P93821	ACCH7_ARATH	
O80823	C86A8_ARATH	
Q9LTL2	C71BP_ARATH	
Q5QIT3	2AB2B_ARATH	
P0DH91	ARF2B_ARATH	
Q9M1S3	ARP1_ARATH	
Q9M6N7	AMT2_ARATH	
Q9C9R4	BRTL2_ARATH	
O22194	AGP17_ARATH	
Q9SFW5	AEE21_ARATH	
Q7XA72	AB21G_ARATH	
Q9M224	ADLO2_ARATH	
Q8LCN5	AGP1_ARATH	
O82166	AHL21_ARATH	
Q9SAF6	CRWN2_ARATH	
Q3E9B8	AB23G_ARATH	
O23685	AP1S2_ARATH	
Q39251	ADF2_ARATH	
Q94F57	AGP26_ARATH	
Q945M8	CSPLI_ARATH	
Q9ZUT0	AB2G_ARATH	
Q9S7H4	CM2_ARATH	
P93051	ERDL7_ARATH	
Q9SSJ8	FAB1C_ARATH	
Q1PEW8	FB127_ARATH	
